__time,/model_pose/x/position,/model_pose/y/position,/model_pose/z/position
1751976388.67096,-0.002718867,-0.03299185,0.054792128
1751976388.67295,-0.002718867,-0.03299185,0.054792128
1751976388.67495,-0.002755686,-0.033565327,0.054699584
1751976388.67697,-0.002755686,-0.033565327,0.054699584
1751976388.67895,-0.002755686,-0.033565327,0.054699584
1751976388.68096,-0.002755686,-0.033565327,0.054699584
1751976388.68295,-0.002755686,-0.033565327,0.054699584
1751976388.68495,-0.00282365,-0.033918398,0.054545156
1751976388.68692,-0.00282365,-0.033918398,0.054545156
1751976388.68895,-0.00282365,-0.033918398,0.054545156
1751976388.69098,-0.00282365,-0.033918398,0.054545156
1751976388.69296,-0.00282365,-0.033918398,0.054545156
1751976388.69493,-0.002950052,-0.034341916,0.054431715
1751976388.69698,-0.002950052,-0.034341916,0.054431715
1751976388.69895,-0.002950052,-0.034341916,0.054431715
1751976388.70097,-0.002950052,-0.034341916,0.054431715
1751976388.70298,-0.002950052,-0.034341916,0.054431715
1751976388.70496,-0.002950052,-0.034341916,0.054431715
1751976388.70697,-0.003000459,-0.034916162,0.054297096
1751976388.70895,-0.003000459,-0.034916162,0.054297096
1751976388.711,-0.003000459,-0.034916162,0.054297096
1751976388.71299,-0.003000459,-0.034916162,0.054297096
1751976388.71496,-0.003000459,-0.034916162,0.054297096
1751976388.71696,-0.003063549,-0.035454502,0.054139125
1751976388.71895,-0.003063549,-0.035454502,0.054139125
1751976388.72095,-0.003063549,-0.035454502,0.054139125
1751976388.723,-0.003063549,-0.035454502,0.054139125
1751976388.72498,-0.003063549,-0.035454502,0.054139125
1751976388.72694,-0.003085685,-0.035970405,0.054024061
1751976388.72895,-0.003085685,-0.035970405,0.054024061
1751976388.73095,-0.003085685,-0.035970405,0.054024061
