time,pitch_effort,pitch_position,pitch_velocity
1747041081.22325,0,-0.704266727,-55.721687317
1747041081.22646,0,-0.704266727,-55.721687317
1747041081.22961,0,-0.704266727,-55.721687317
1747041081.23279,0,-0.704266727,-55.721687317
1747041081.23589,0,-0.704266727,-55.721687317
1747041081.23891,0,-0.717768967,-54.434463501
1747041081.24196,0,-0.731268525,-55.801948547
1747041081.24498,0,-0.731268525,-88.433181763
1747041081.24804,0,-0.663765371,-94.71685791
1747041081.25163,0,-0.623266697,-85.421928406
1747041081.25473,0,-0.623266697,-77.587753296
1747041081.25772,0,-0.623266697,-77.587753296
1747041081.26095,0,-0.650265813,-75.155456543
1747041081.26399,0,-0.650265813,-80.298980713
1747041081.267,0,-0.636766255,-81.524291992
1747041081.27013,0,-0.623266697,-80.199150085
1747041081.27315,0,-0.609764457,-78.803314209
1747041081.27625,0,-0.609764457,-76.231872559
1747041081.27933,0,-0.609764457,-76.231872559
1747041081.2826,0,-0.596264899,-77.497108459
1747041081.28571,0,-0.596264899,-74.876266479
1747041081.28875,0,-0.596264899,-74.876266479
1747041081.29198,0,-0.596264899,-74.876266479
1747041081.29524,0,-0.582765341,-76.008857727
1747041081.29837,0,-0.582765341,-73.520652771
1747041081.30158,0,-0.596264899,-72.314437866
1747041081.30428,0,-0.596264899,-74.876266479
1747041081.30704,0,-0.596264899,-74.876266479
1747041081.30991,0,-0.596264899,-74.876266479
1747041081.31255,0,-0.596264899,-74.876266479
1747041081.31511,0,-0.596264899,-74.876266479
1747041081.3182,0,-0.596264899,-74.876266479
1747041081.32125,0,-0.596264899,-74.876266479
1747041081.32399,0,-0.596264899,-74.876266479
1747041081.32692,0,-0.596264899,-74.876266479
1747041081.32997,0,-0.596264899,-74.876266479
1747041081.33293,0,-0.596264899,-74.876266479
1747041081.33557,0,-0.596264899,-74.876266479
1747041081.33849,0,-0.582765341,-76.456420898
1747041081.3415,0,-0.569263101,-74.908943176
1747041081.34468,0,-0.569263101,-72.164779663
1747041081.34769,0,-0.555763543,-73.37512207
1747041081.3508,0,-0.542263985,-72.100524902
1747041081.35385,0,-0.528764427,-70.683059692
1747041081.35695,0,-0.515262187,-69.309356689
1747041081.36015,0,-0.515262187,-66.74206543
1747041081.3632,0,-0.515262187,-66.74206543
1747041081.36635,0,-0.501762629,-37.973247528
1747041081.36947,0,-0.582765341,-28.202831268
1747041081.37263,0,-0.677267611,-35.179851532
1747041081.37575,0,-0.677267611,-53.010467529
1747041081.37883,0,-0.636766255,-56.629371643
1747041081.38185,0,-0.636766255,-48.943367004
1747041081.3849,0,-0.650265813,-47.71554184
1747041081.38831,0,-0.663765371,-49.023353577
1747041081.39159,0,-0.663765371,-51.654586792
1747041081.39459,0,-0.663765371,-51.654586792
1747041081.39765,0,-0.663765371,-51.654586792
1747041081.40121,0,-0.677267611,-50.446479797
1747041081.40456,0,-0.677267611,-53.010467529
1747041081.40764,0,-0.663765371,-54.033302307
1747041081.41073,0,-0.663765371,-51.654586792
1747041081.41378,0,-0.663765371,-51.654586792
1747041081.41686,0,-0.663765371,-51.654586792
1747041081.41989,0,-0.663765371,-51.654586792
1747041081.42299,0,-0.663765371,-51.654586792
1747041081.42607,0,-0.650265813,-52.907806396
1747041081.42961,0,-0.650265813,-50.298980713
1747041081.43259,0,-0.650265813,-50.298980713
1747041081.4357,0,-0.650265813,-50.298980713
1747041081.43913,0,-0.650265813,-50.298980713
1747041081.44223,0,-0.650265813,-50.298980713
1747041081.44594,0,-0.663765371,-49.118850708
1747041081.44898,0,-0.663765371,-51.654586792
1747041081.45212,0,-0.690767169,-49.300559998
1747041081.45518,0,-0.717768967,-52.023300171
1747041081.4584,0,-0.717768967,-57.077568054
1747041081.46146,0,-0.717768967,-57.077568054
1747041081.46456,0,-0.731268525,-55.802818298
1747041081.46757,0,-0.744768083,-57.215370178
1747041081.47052,0,-0.744768083,-59.788787842
1747041081.47357,0,-0.744768083,-59.788787842
1747041081.47667,0,-0.758267641,-58.512298584
1747041081.47972,0,-0.758267641,-61.14440155
1747041081.48281,0,-0.744768083,-62.380630493
1747041081.48582,0,-0.744768083,-59.788787842
1747041081.4889,0,-0.744768083,-59.788787842
1747041081.492,0,-0.744768083,-59.788787842
1747041081.49493,0,-0.744768083,-59.788787842
1747041081.498,0,-0.744768083,-59.788787842
1747041081.50111,0,-0.744768083,-59.788787842
1747041081.50414,0,-0.744768083,-59.788787842
1747041081.50727,0,-0.744768083,-59.788787842
1747041081.51051,0,-0.744768083,-59.788787842
1747041081.51379,0,-0.758267641,-58.713905334
1747041081.5168,0,-0.758267641,-61.14440155
1747041081.51979,0,-0.758267641,-61.14440155
1747041081.52284,0,-0.758267641,-61.14440155
1747041081.52586,0,-0.771769881,-59.866790771
1747041081.52952,0,-0.785269439,-61.216819763
1747041081.53247,0,-0.785269439,-63.855895996
1747041081.53599,0,-0.785269439,-63.855895996
1747041081.53904,0,-0.798768997,-62.887390137
1747041081.54276,0,-0.812271237,-64.049583435
1747041081.54586,0,-0.812271237,-66.567382813
1747041081.5489,0,-0.812271237,-66.567382813
1747041081.5522,0,-0.812271237,-66.567382813
1747041081.55557,0,-0.812271237,-66.567382813
1747041081.55862,0,-0.812271237,-66.567382813
1747041081.56159,0,-0.798768997,-67.852851868
1747041081.56477,0,-0.798768997,-65.211502075
1747041081.56773,0,-0.798768997,-65.211502075
1747041081.57077,0,-0.785269439,-66.48625946
1747041081.57442,0,-0.785269439,-63.855895996
1747041081.57736,0,-0.771769881,-64.775268555
1747041081.58037,0,-0.771769881,-62.500282288
1747041081.58376,0,-0.771769881,-62.500282288
1747041081.58702,0,-0.771769881,-62.500282288
1747041081.59016,0,-0.771769881,-62.500282288
1747041081.5933,0,-0.771769881,-62.500282288
1747041081.59642,0,-0.771769881,-62.500282288
1747041081.59959,0,-0.771769881,-62.500282288
1747041081.60256,0,-0.771769881,-62.500282288
1747041081.6056,0,-0.771769881,-62.500282288
1747041081.60861,0,-0.771769881,-62.500282288
1747041081.61163,0,-0.771769881,-62.500282288
1747041081.61456,0,-0.771769881,-62.500282288
1747041081.61751,0,-0.771769881,-62.500282288
1747041081.62094,0,-0.771769881,-62.500282288
1747041081.62404,0,-0.771769881,-62.500282288
1747041081.62737,0,-0.771769881,-62.500282288
1747041081.63035,0,-0.758267641,-63.573158264
1747041081.63367,0,-0.758267641,-61.14440155
1747041081.63663,0,-0.758267641,-61.14440155
1747041081.63985,0,-0.744768083,-62.336685181
1747041081.64289,0,-0.744768083,-59.788787842
1747041081.64598,0,-0.744768083,-59.788787842
1747041081.64912,0,-0.744768083,-59.788787842
1747041081.65209,0,-0.744768083,-59.788787842
1747041081.65531,0,-0.731268525,-61.113105774
1747041081.65827,0,-0.731268525,-58.433181763
1747041081.66142,0,-0.731268525,-58.433181763
1747041081.66446,0,-0.731268525,-58.433181763
1747041081.66744,0,-0.731268525,-58.433181763
1747041081.67061,0,-0.731268525,-58.433181763
1747041081.67402,0,-0.731268525,-58.433181763
1747041081.67696,0,-0.731268525,-58.433181763
1747041081.67986,0,-0.731268525,-58.433181763
1747041081.683,0,-0.731268525,-58.433181763
1747041081.68607,0,-0.731268525,-58.433181763
1747041081.68914,0,-0.731268525,-58.433181763
1747041081.69218,0,-0.731268525,-58.433181763
